"TIME","GEO","UNIT","NA_ITEM","Value"
"2007","European Union (28 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.9"
"2007","European Union (28 countries)","Chain linked volumes, index 2010=100","Final consumption expenditure","98.8"
"2007","European Union (28 countries)","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","95.0"
"2007","European Union (28 countries)","Chain linked volumes, index 2010=100","Gross capital formation","116.0"
"2007","European Union (28 countries)","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","European Union (28 countries)","Current prices, million euro","Gross domestic product at market prices","12,994,330.0"
"2007","European Union (28 countries)","Current prices, million euro","Final consumption expenditure","9,900,654.9"
"2007","European Union (28 countries)","Current prices, million euro","Final consumption expenditure of NPISH","198,356.0"
"2007","European Union (28 countries)","Current prices, million euro","Gross capital formation","3,016,930.9"
"2007","European Union (28 countries)","Current prices, million euro","External balance of goods and services","76,744.2"
"2007","European Union (28 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,075,763.0"
"2007","European Union (28 countries)","Chain linked volumes (2010), million euro","Final consumption expenditure","9,981,509.5"
"2007","European Union (28 countries)","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","197,993.5"
"2007","European Union (28 countries)","Chain linked volumes (2010), million euro","Gross capital formation","3,028,202.7"
"2007","European Union (28 countries)","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","European Union (15 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.3"
"2007","European Union (15 countries)","Chain linked volumes, index 2010=100","Final consumption expenditure","98.9"
"2007","European Union (15 countries)","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","95.3"
"2007","European Union (15 countries)","Chain linked volumes, index 2010=100","Gross capital formation","115.6"
"2007","European Union (15 countries)","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","European Union (15 countries)","Current prices, million euro","Gross domestic product at market prices","12,055,496.7"
"2007","European Union (15 countries)","Current prices, million euro","Final consumption expenditure","9,185,751.2"
"2007","European Union (15 countries)","Current prices, million euro","Final consumption expenditure of NPISH","189,793.3"
"2007","European Union (15 countries)","Current prices, million euro","Gross capital formation","2,747,301.7"
"2007","European Union (15 countries)","Current prices, million euro","External balance of goods and services","122,443.8"
"2007","European Union (15 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,077,732.4"
"2007","European Union (15 countries)","Chain linked volumes (2010), million euro","Final consumption expenditure","9,215,354.0"
"2007","European Union (15 countries)","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","188,852.4"
"2007","European Union (15 countries)","Chain linked volumes (2010), million euro","Gross capital formation","2,747,571.9"
"2007","European Union (15 countries)","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.1"
